question,choices,answer,why,difficulty,category,skin
"A circuit draws 2 A from a 120 V source. Its resistance is…","60 ohms|240 ohms|0.6 ohms","60 ohms","R = V / I = 120 / 2 = 60 — Ohm's law rearranged.",medium,CIRC,theory
"If resistance increases while voltage stays the same, current…","Decreases|Increases|Stays the same","Decreases","I = V/R — more opposition, less flow.",medium,CIRC,theory
"A continuity test must be done…","With the circuit de-energized|On a live circuit|Only outdoors","With the circuit de-energized","The meter supplies its own tiny test current — live voltage gives false readings and can wreck the meter.",medium,CIRC,theory
"Homes wire receptacles in parallel so that…","Each device gets full voltage and works independently|The wire can be thinner|The breaker never trips","Each device gets full voltage and works independently","Parallel branches run independently — one lamp out does not kill the room.",medium,CIRC,theory
"A 60 W lamp on a 120 V circuit draws…","0.5 A|2 A|60 A","0.5 A","I = P / V = 60 / 120 = 0.5 A — power math in reverse.",medium,CIRC,theory
"If one branch of a parallel circuit opens, the other branches…","Keep operating normally|All shut down|Double their current","Keep operating normally","Each parallel branch has its own path — an open only kills its own branch.",medium,CIRC,theory
"A voltmeter is connected across a component because it measures…","The potential difference between two points|The current through the wire|The wire temperature","The potential difference between two points","Voltage is always measured between two points — across, never in line.",medium,CIRC,theory
"In a parallel circuit, current flows through…","Every branch, with more in the lower-resistance branches|Only the path of least resistance|Only the first branch","Every branch, with more in the lower-resistance branches","The least-resistance saying is a myth — every path carries its share, inversely to resistance.",medium,CIRC,theory
"Two 10-ohm resistors in series across 120 V draw…","6 A|12 A|3 A","6 A","Series resistance adds: 20 ohms total, so I = 120 / 20 = 6 A.",hard,CIRC,theory
"Two 10-ohm resistors in parallel have a combined resistance of…","5 ohms|20 ohms|10 ohms","5 ohms","Equal resistors in parallel halve — more paths, less total resistance.",hard,CIRC,theory
"An 1800 W space heater on a 120 V circuit draws…","15 A|8 A|30 A","15 A","I = P / V = 1800 / 120 = 15 A — enough to max out a whole 15 A circuit.",hard,CIRC,theory
"Adding another branch to a parallel circuit makes total source current…","Increase|Decrease|Stay exactly the same","Increase","Each new branch lowers total resistance, so the source supplies more amps — how circuits get overloaded.",hard,CIRC,theory
"In any series circuit, the sum of the voltage drops across the loads…","Equals the source voltage|Is always zero|Exceeds the source voltage","Equals the source voltage","Kirchhoff's voltage law — the source's push is used up exactly around the loop.",hard,CIRC,theory
"The total current leaving the source in a parallel circuit equals…","The sum of all branch currents|The largest single branch current|The smallest branch current","The sum of all branch currents","Kirchhoff's current law — what leaves the source is the total of every branch.",hard,CIRC,theory
"Doubling the voltage across a fixed resistance makes the power…","Four times greater|Twice as great|Half as great","Four times greater","P = V squared over R — double the volts, quadruple the heat. Why small overvoltages matter.",hard,CIRC,theory
"A short circuit can drive thousands of amps because…","Fault-path resistance is nearly zero, so I = V/R explodes|The voltage rises sharply|The wire becomes a better conductor when hot","Fault-path resistance is nearly zero, so I = V/R explodes","Ohm's law with R near zero — only the system's tiny impedance limits the current.",hard,CIRC,theory
"A toolbox talk is…","A short pre-task safety briefing|A tool inventory|A lunch break","A short pre-task safety briefing","A few minutes of planning before the task prevents the incident during it.",easy,GEN,both
"If you see an unsafe condition you should…","Stop work and report it|Ignore it if you're busy|Wait for the weekly meeting","Stop work and report it","Everyone on site has stop-work authority — use it.",easy,GEN,both
"In the hierarchy of controls, PPE is…","The last line of defense|The most effective control|A substitute for training","The last line of defense","Eliminate or engineer out hazards first; PPE only limits what's left.",easy,PPE,both
"A hard hat mainly protects you from…","Falling and swinging objects|Sunburn|Loud noise","Falling and swinging objects","Head protection is required wherever overhead work or loads exist.",easy,PPE,both
