question,choices,answer,why,difficulty,category,skin
"Loose terminal connections are dangerous because they…","Create resistance that generates heat at the connection|Lower the voltage safely|Make the circuit quieter","Create resistance that generates heat at the connection","A loose lug is a tiny heater — many electrical fires start at a bad connection, not in the wire run.",easy,COND,theory
"Bundling many current-carrying conductors in one conduit requires…","Derating their ampacity|No change|A larger breaker","Derating their ampacity","Packed conductors cannot shed heat — each one must be credited with less capacity.",medium,COND,theory
"In a high-ambient-temperature space like a hot attic, conductor ampacity…","Must be corrected downward|Increases|Is unaffected","Must be corrected downward","Ampacity assumes a reference ambient — hotter surroundings mean the wire starts closer to its heat limit.",medium,COND,theory
"To match copper's ampacity, an aluminum conductor must be…","A larger size|The same size|One size smaller","A larger size","Aluminum has higher resistivity — the same job takes more metal.",medium,COND,theory
"The commonly recommended maximum voltage drop for a branch circuit is about…","About 3%|About 10%|About 25%","About 3%","Around 3% keeps equipment at healthy voltage — a recommendation for performance, not a hard trip point.",medium,COND,theory
"Doubling the length of a circuit run at the same load roughly…","Doubles the voltage drop|Halves the voltage drop|Does not change the drop","Doubles the voltage drop","Twice the wire is twice the resistance, and drop equals current times resistance.",medium,COND,theory
"A conductor's ampacity is limited by…","Its insulation's temperature rating and how it is installed|The color of the jacket|The breaker manufacturer","Its insulation's temperature rating and how it is installed","The copper survives heat the insulation cannot — insulation rating plus install conditions set the number.",medium,COND,theory
"Power wasted as heat in a conductor equals…","Current squared times the wire's resistance|Voltage times resistance|Current divided by resistance","Current squared times the wire's resistance","I-squared-R: doubling current quadruples wire heating — why high-amp circuits need serious copper.",medium,COND,theory
"A feeder drops 3 V at 10 A. At 20 A the drop is about…","6 V|3 V|1.5 V","6 V","Voltage drop is I times R — same wire, double the current, double the drop.",hard,COND,theory
"A 120 V circuit with 5% voltage drop delivers about…","114 V|110 V|117 V","114 V","5% of 120 V is 6 V lost in the wire — the load sees 114 V.",hard,COND,theory
"After derating, a conductor's adjusted ampacity comes out below the load current. You must…","Use a larger conductor|Ignore the derating|Add a second breaker","Use a larger conductor","Derating is real capacity loss — the fix is more copper, never wishful math.",hard,COND,theory
"You upsize a long run's conductors to control voltage drop. The breaker…","Stays sized to the load — bigger wire never requires a bigger breaker|Must be upsized to match the wire|Must be downsized","Stays sized to the load — bigger wire never requires a bigger breaker","The OCPD protects per the load and circuit design; oversizing the wire only adds margin.",hard,COND,theory
"A 90-degree-C rated conductor lands on equipment terminals rated 75 degrees C. Ampacity is taken from…","The 75-degree column — the termination is the weak link|The 90-degree column|The average of the two","The 75-degree column — the termination is the weak link","The connection point sets the limit — terminals overheat before the insulation does.",hard,COND,theory
"The PASS method for fire extinguishers is…","Pull, Aim, Squeeze, Sweep|Push And Stand Still|Point At Smoke Source","Pull, Aim, Squeeze, Sweep","Pull the pin, aim at the base, squeeze the handle, sweep side to side.",easy,FIRE,both
"A fire watch during hot work must continue…","During and after the work is done|Only while sparks are visible|Only if a fire starts","During and after the work is done","Smoldering starts late — keep the watch going after welding or cutting stops.",medium,FIRE,both
"The right extinguisher class for an electrical fire is…","Class C|Class A|Class K","Class C","Class C agents don't conduct — water on an energized fire electrocutes the operator.",medium,FIRE,both
"Flammable liquids on site must be stored…","In approved safety cans and cabinets|In any spare bucket|Next to the welding area","In approved safety cans and cabinets","Approved containers control vapors and flame — that's what keeps fuel from becoming fire.",easy,FIRE,both
