question,choices,answer,why,difficulty,category,skin
"The learning rate controls…","The size of each update step|The size of the dataset|The number of output classes","The size of each update step","It scales the gradient step: too big overshoots, too small crawls",easy,COND,both
"Setting the learning rate too high typically causes…","The loss to diverge or bounce around|Slower but stable training|No visible effect","The loss to diverge or bounce around","Giant steps leap over the valley instead of settling into it",easy,COND,both
"An epoch is…","One full pass over the training data|One weight update|One evaluation run","One full pass over the training data","Training usually takes many epochs, each visiting every example once",easy,COND,both
"Precision answers the question:","Of the items I flagged positive, how many really were?|Of all real positives, how many did I find?|How fast does the model run?","Of the items I flagged positive, how many really were?","Precision is about the purity of your positive predictions",easy,COND,both
"Recall answers the question:","Of all real positives, how many did I find?|Of the items I flagged, how many were right?|How large is the model?","Of all real positives, how many did I find?","Recall is about coverage: missing a real positive hurts recall",easy,COND,both
"Regularization is used to…","Fight overfitting by penalizing complexity|Speed up inference|Add more features","Fight overfitting by penalizing complexity","A complexity penalty nudges the model toward simpler, more general solutions",easy,COND,both
"Cross-validation gives you…","A more reliable performance estimate from multiple train/validation splits|Faster training|More training data","A more reliable performance estimate from multiple train/validation splits","Averaging over k folds smooths out the luck of any single split",easy,COND,both
"F1 score is…","The harmonic mean of precision and recall|The average of accuracy and recall|Precision minus recall","The harmonic mean of precision and recall","The harmonic mean punishes you when either precision or recall is low",medium,COND,both
"High bias, low variance describes a model that is…","Consistently wrong in the same way because it's too simple|Wildly different across training runs|Perfectly calibrated","Consistently wrong in the same way because it's too simple","Bias is systematic error: the model can't represent the true pattern",medium,COND,both
"High variance means…","Small changes in training data swing the predictions a lot|The model is too simple|The labels are all wrong","Small changes in training data swing the predictions a lot","A high-variance model fits each dataset's quirks, so it's unstable",medium,COND,both
"L2 regularization (weight decay) works by…","Penalizing large weights so the model stays smoother|Deleting features|Duplicating training data","Penalizing large weights so the model stays smoother","Big weights mean sharp sensitive functions; L2 shrinks them toward zero",medium,COND,both
"L1 regularization tends to…","Drive some weights exactly to zero, acting as feature selection|Make all weights equal|Increase overfitting","Drive some weights exactly to zero, acting as feature selection","The L1 penalty's corners push small weights all the way to zero",medium,COND,both
"Early stopping fights overfitting by…","Halting training when validation loss stops improving|Using a bigger model|Lowering the batch size","Halting training when validation loss stops improving","You stop at the model's best generalization point instead of letting it memorize",medium,COND,both
"A confusion matrix shows…","Counts of predicted vs actual classes|The model's weights|Training speed over time","Counts of predicted vs actual classes","It breaks accuracy into true/false positives and negatives per class",medium,COND,both
"Mini-batch gradient descent differs from full-batch by…","Updating on small random subsets of the data|Never converging|Using no gradients","Updating on small random subsets of the data","Small batches give frequent, cheap, slightly noisy updates that scale to big data",medium,COND,both
"Raising the classification threshold usually…","Increases precision and lowers recall|Increases both|Lowers both","Increases precision and lowers recall","Being pickier means fewer flagged items (purer) but more missed positives",medium,COND,both
"Hyperparameters are…","Settings chosen before training, like learning rate and tree depth|Weights learned during training|Rows of the dataset","Settings chosen before training, like learning rate and tree depth","The model learns parameters; you choose hyperparameters",medium,COND,both
"A ROC curve plots…","True positive rate against false positive rate across thresholds|Loss against epochs|Precision against F1","True positive rate against false positive rate across thresholds","It shows the whole tradeoff space as you sweep the decision threshold",medium,COND,both
"Dropout regularizes a network by…","Randomly disabling units during training so the net can't over-rely on any one|Removing training rows|Freezing the weights","Randomly disabling units during training so the net can't over-rely on any one","Random knockouts force redundant, robust representations",medium,COND,both
"An AUC of 0.5 means…","The model ranks positives no better than coin flips|Perfect classification|The model always predicts negative","The model ranks positives no better than coin flips","0.5 is the diagonal: random ranking. 1.0 is perfect separation",hard,COND,both
"Why tune hyperparameters on a validation set instead of the test set?","Tuning on the test set leaks it, so the final score stops being honest|The test set is too small|Validation sets train faster","Tuning on the test set leaks it, so the final score stops being honest","Every tuning peek at the test set quietly overfits your choices to it",hard,COND,both
"Validation loss falls, then rises, while training loss keeps falling. That turning point is…","Where overfitting begins|A learning-rate warmup artifact|Proof of underfitting","Where overfitting begins","Past that point the model improves on training data by memorizing it",hard,COND,both
"Random search often beats grid search for hyperparameters when…","Only a few hyperparameters really matter, so random covers each range better|There is exactly one hyperparameter|The grid is tiny","Only a few hyperparameters really matter, so random covers each range better","Grid wastes trials repeating values of unimportant knobs; random explores more of each axis",hard,COND,both
"An artificial neuron computes…","A weighted sum of inputs passed through an activation function|A database lookup|A sorted list","A weighted sum of inputs passed through an activation function","Weights scale each input, the sum is squashed by the activation",easy,GRND,both
"Activation functions exist to…","Add nonlinearity so networks can learn complex patterns|Slow down training|Store memory between runs","Add nonlinearity so networks can learn complex patterns","Without them, stacked layers collapse into one linear function",easy,GRND,both
"Backpropagation is…","The algorithm that computes gradients layer by layer, backwards|A way to load data|A GPU driver","The algorithm that computes gradients layer by layer, backwards","The chain rule walks the error signal back so every weight knows its blame",easy,GRND,both
"A 'deep' network is one with…","Many layers|Many rows of data|A big hard drive","Many layers","Depth means stacked layers, letting features build on features",easy,GRND,both
"ReLU outputs…","The input if positive, else zero|Always 1|The square of the input","The input if positive, else zero","max(0, x): cheap, simple, and it keeps gradients healthy in deep nets",easy,GRND,both
"PyTorch's autograd does what for you?","Tracks operations and computes gradients automatically|Downloads datasets|Writes the training loop","Tracks operations and computes gradients automatically","You define the forward pass; autograd builds the backward pass for free",easy,GRND,both
"An embedding is…","A learned dense vector that represents meaning|A compressed zip file|A database index","A learned dense vector that represents meaning","Embeddings map words, sentences, or items into a space where distance means similarity",medium,GRND,both
"Words or tokens with similar meaning end up…","Close together in embedding space|In alphabetical order|In the same file","Close together in embedding space","That geometry is the whole point: similarity becomes measurable distance",medium,GRND,both
"Tokenization converts text into…","Subword units the model processes as ids|Whole sentences only|Pixels","Subword units the model processes as ids","Models read token ids; rare words split into smaller known pieces",medium,GRND,both
"The attention mechanism lets a transformer…","Weigh how much each token should look at every other token|Skip training|Compress images","Weigh how much each token should look at every other token","Each token gathers information from the tokens most relevant to it",medium,GRND,both
"Self-attention is called 'self' because…","The sequence attends to its own tokens|The model trains itself|It runs without a GPU","The sequence attends to its own tokens","Queries, keys, and values all come from the same sequence",medium,GRND,both
"Why did transformers displace RNNs for language?","They process all tokens in parallel and handle long-range dependencies better|They use less electricity|They have fewer parameters","They process all tokens in parallel and handle long-range dependencies better","No sequential bottleneck to train, and attention connects distant tokens directly",medium,GRND,both
"A softmax layer outputs…","A probability distribution over classes|Raw unbounded scores|Binary bits","A probability distribution over classes","It exponentiates and normalizes scores so they sum to 1",medium,GRND,both
"Pretraining a language model means…","Training on huge general text before any task-specific tuning|Testing before training|Compiling the code","Training on huge general text before any task-specific tuning","General language skill is learned once, then specialized cheaply",medium,GRND,both
"Fine-tuning is…","Continuing training of a pretrained model on your specific data|Training from random weights|Writing better prompts","Continuing training of a pretrained model on your specific data","You start from learned knowledge and nudge the weights toward your task",medium,GRND,both
"The vanishing gradient problem is…","Gradients shrinking toward zero through deep layers, stalling learning|Losing the dataset|A GPU overheating","Gradients shrinking toward zero through deep layers, stalling learning","Tiny gradients mean early layers barely learn; architectures like ResNets fight this",medium,GRND,both
"Batch size is…","How many examples are processed per weight update|The total dataset size|The number of layers","How many examples are processed per weight update","Bigger batches give smoother gradients but cost more memory per step",medium,GRND,both
"GPUs accelerate deep learning because…","Neural network math is mostly parallel matrix operations|They have bigger hard drives|They run Python faster","Neural network math is mostly parallel matrix operations","Thousands of cores multiply matrices at once; that's exactly what nets need",medium,GRND,both
"On an 8 GB VRAM card, a 7B-parameter model at 16-bit precision…","Doesn't fit: 7B times 2 bytes is about 14 GB before activations|Fits with room to spare|Needs exactly 8 GB","Doesn't fit: 7B times 2 bytes is about 14 GB before activations","Two bytes per weight means 7B parameters cost ~14 GB; quantization is how it fits",hard,GRND,both
"Quantization shrinks a model by…","Storing weights in fewer bits, like 4-bit instead of 16|Deleting layers|Shortening the prompt","Storing weights in fewer bits, like 4-bit instead of 16","Lower precision per weight trades a little quality for a lot of memory",hard,GRND,both
"In attention, the Query, Key, and Value vectors are…","Learned projections of the tokens, used to score and mix information|Three separate datasets|Fixed constants","Learned projections of the tokens, used to score and mix information","Query-Key dot products decide who attends to whom; Values carry the content",hard,GRND,both
"Residual (skip) connections help deep networks by…","Giving gradients a direct path so very deep stacks still train|Skipping the test set|Reducing parameters to zero","Giving gradients a direct path so very deep stacks still train","The shortcut around each block keeps the error signal strong through depth",hard,GRND,both
"LoRA fine-tunes efficiently by…","Training small low-rank adapter matrices instead of all the weights|Lowering the learning rate|Freezing the entire model with no additions","Training small low-rank adapter matrices instead of all the weights","Tiny adapters capture the task shift, so an 8 GB card can fine-tune big models",hard,GRND,both
"Positional encodings exist because…","Attention alone has no sense of token order|Tokens are too long|GPUs need indexes","Attention alone has no sense of token order","Attention treats input as a set; positions must be injected explicitly",hard,GRND,both
"LLMs generate text by…","Predicting the next token repeatedly|Copying from a database|Running grammar rules","Predicting the next token repeatedly","Each generated token is appended and the model predicts the next, in a loop",easy,DIST,both
"A token is…","A chunk of text, often part of a word, that the model reads and writes|Always a full sentence|A password","A chunk of text, often part of a word, that the model reads and writes","Models see token ids, not letters; 'unbelievable' may be 3 tokens",easy,DIST,both
"The context window is…","The maximum tokens the model can consider at once|The chat history file|The GPU memory","The maximum tokens the model can consider at once","Everything the model 'knows' about your conversation must fit in it",easy,DIST,both
"Temperature 0 makes output…","Nearly deterministic, picking the most likely token|More creative|Longer","Nearly deterministic, picking the most likely token","Zero temperature collapses sampling to the argmax token every step",easy,DIST,both
"LLM API cost is usually billed by…","Tokens in and out|Wall-clock minutes|Number of sentences","Tokens in and out","Both the prompt you send and the completion you get back count",easy,DIST,both
"Streaming responses means…","Receiving tokens as they are generated instead of waiting for the full answer|Downloading the model|Playing audio","Receiving tokens as they are generated instead of waiting for the full answer","Streaming cuts perceived latency: the first words arrive immediately",easy,DIST,both
"Raising temperature…","Flattens the token distribution so sampling gets more random|Speeds up inference|Adds more tokens to context","Flattens the token distribution so sampling gets more random","Higher temperature gives unlikely tokens more chance: more diverse, less reliable",medium,DIST,both
"A hallucination is…","Confident output that is factually wrong or invented|A GPU error|An answer that is too long","Confident output that is factually wrong or invented","The model optimizes plausible text, not truth; fluency is not accuracy",medium,DIST,both
"A system prompt is…","Standing instructions that frame the model's behavior for the whole conversation|The first user question|The model's training data","Standing instructions that frame the model's behavior for the whole conversation","It sets role, rules, and tone before any user input arrives",medium,DIST,both
"Few-shot prompting means…","Showing worked examples in the prompt so the model imitates the pattern|Training for a few epochs|Using a small model","Showing worked examples in the prompt so the model imitates the pattern","Examples in-context steer format and style with no training at all",medium,DIST,both
"Forcing structured output like JSON matters because…","Downstream code needs reliably parseable responses|It makes answers smarter|It saves VRAM","Downstream code needs reliably parseable responses","An app can't branch on prose; schemas make LLM output programmable",medium,DIST,both
"Tool use (function calling) lets an LLM…","Request an external action like search or code instead of guessing|Rewrite its own weights|Run without prompts","Request an external action like search or code instead of guessing","The model emits a structured call, your code runs it, and the result comes back",medium,DIST,both
"An 'agent' in LLM engineering is…","A loop where the model plans, calls tools, and reacts to results toward a goal|Any chatbot|A human reviewer","A loop where the model plans, calls tools, and reacts to results toward a goal","Agent = LLM + tools + a loop with feedback, not just one-shot Q&A",medium,DIST,both
"Why do very long conversations degrade LLM answers?","Earlier content falls outside or gets diluted in the context window|The model gets tired|Tokens expire after an hour","Earlier content falls outside or gets diluted in the context window","The window is finite; what scrolls out of it is gone for the model",medium,DIST,both
"LLM-as-judge evaluation means…","Using a strong model to grade another model's outputs against criteria|A courtroom transcript dataset|Human-only review","Using a strong model to grade another model's outputs against criteria","It scales evaluation cheaply, though the judge itself must be validated",medium,DIST,both
"The same prompt gives different answers each run. The usual cause is…","Sampling randomness from temperature above 0|The weights changed overnight|A memory leak","Sampling randomness from temperature above 0","Nonzero temperature draws from a distribution, so runs differ by design",medium,DIST,both
"Prompt injection is…","Malicious text in the input that hijacks the model's instructions|A vaccination dataset|A CUDA feature","Malicious text in the input that hijacks the model's instructions","Untrusted content can carry instructions; treat retrieved and user text as data, not commands",medium,DIST,both
"top-p (nucleus) sampling…","Samples only from the smallest set of tokens whose probabilities sum to p|Always picks the p-th token|Truncates the prompt to p tokens","Samples only from the smallest set of tokens whose probabilities sum to p","It cuts off the long unlikely tail while keeping natural variety",medium,DIST,both
"Why does an eval harness matter more for LLM apps than unit tests alone?","Outputs are probabilistic, so quality must be measured across many cases|LLMs can't run in CI|Unit tests are deprecated","Outputs are probabilistic, so quality must be measured across many cases","You track score distributions over a test suite, not one assertion",hard,DIST,both
"To cut hallucinations in a domain assistant, the highest-leverage fix is usually…","Grounding answers in retrieved source documents|A bigger context window|Higher temperature","Grounding answers in retrieved source documents","Give the model the facts and instruct it to answer only from them: that's RAG",hard,DIST,both
"Greedy decoding vs sampling:","Greedy always takes the top token; sampling draws from the distribution|They are identical|Greedy needs more VRAM","Greedy always takes the top token; sampling draws from the distribution","Greedy is deterministic and safe; sampling buys diversity at the cost of variance",hard,DIST,both
"Fine-tuning beats prompting when…","You need consistent style or behavior at scale that prompting can't reliably hold|You have zero examples|The prompt is already short","You need consistent style or behavior at scale that prompting can't reliably hold","Prompting is cheap and flexible; fine-tune when instructions stop being enough",hard,DIST,both
"A 'stop sequence' does what?","Tells generation to halt when a given string appears|Deletes the context|Restarts the server","Tells generation to halt when a given string appears","It's how you keep the model from rambling past the answer you wanted",hard,DIST,both
"Caching a long, stable prompt prefix helps because…","The provider can reuse computation for repeated identical context|It trains the model on your data|It shortens the output","The provider can reuse computation for repeated identical context","Same prefix, same computation: caching it cuts latency and cost on every call",hard,DIST,both
"RAG stands for…","Retrieval-Augmented Generation|Random Answer Generator|Recursive Agent Graph","Retrieval-Augmented Generation","Retrieve relevant documents, then generate an answer grounded in them",easy,OCP,both
"The core idea of RAG is…","Fetch relevant documents and let the model answer from them|Train a new model for every question|Cache old answers","Fetch relevant documents and let the model answer from them","The LLM stops guessing from memory and starts citing your corpus",easy,OCP,both
"RAG beats fine-tuning for fresh knowledge because…","You update the index, not the model weights|It uses no compute at all|It removes the LLM entirely","You update the index, not the model weights","New document? Re-embed it tonight. No retraining, no new model",easy,OCP,both
"Chunking is…","Splitting documents into retrievable pieces|Deleting stopwords|Compressing embeddings","Splitting documents into retrievable pieces","Retrieval works on chunks, so how you cut documents shapes everything downstream",medium,OCP,both
"Chunks that are too large hurt retrieval because…","The relevant sentence gets buried, diluting the chunk's embedding|They cost no tokens|Vector stores reject them","The relevant sentence gets buried, diluting the chunk's embedding","One embedding must summarize the whole chunk; noise drowns the signal",medium,OCP,both
"Chunks that are too small hurt because…","They lose the surrounding context needed to answer|They embed too fast|They can't be stored","They lose the surrounding context needed to answer","A lone sentence may match the query but lack the answer around it",medium,OCP,both
"Chunk overlap exists to…","Avoid cutting an idea in half at a chunk boundary|Double the database size on purpose|Speed up embedding","Avoid cutting an idea in half at a chunk boundary","Overlapping windows keep boundary-straddling facts intact in at least one chunk",medium,OCP,both
"An embedding model in RAG converts…","Text into vectors so similarity can be computed|Vectors into images|Questions into SQL","Text into vectors so similarity can be computed","Query and chunks land in the same vector space; close means relevant",medium,OCP,both
"A vector store's job is…","Store embeddings and find nearest neighbors fast|Host the LLM|Version control for code","Store embeddings and find nearest neighbors fast","It answers 'which chunks are closest to this query vector' at scale",medium,OCP,both
"Cosine similarity measures…","The angle between two vectors, ignoring their length|Vector file size|Token count","The angle between two vectors, ignoring their length","Direction encodes meaning; cosine compares direction regardless of magnitude",medium,OCP,both
"top-k in retrieval means…","Return the k most similar chunks|Keep k databases|Use the model's k-th layer","Return the k most similar chunks","k controls how much material you hand the LLM: too few misses, too many dilutes",medium,OCP,both
"The query and the documents must be embedded with…","The same or aligned embedding model|Two unrelated models|No model at all","The same or aligned embedding model","Different models produce incompatible spaces; distances between them are meaningless",medium,OCP,both
"BM25 is…","A keyword-based sparse ranking function built on term frequency|A neural embedding model|A GPU benchmark","A keyword-based sparse ranking function built on term frequency","It's the classic lexical search baseline: no neural net involved",medium,OCP,both
"Hybrid retrieval combines…","Dense vector similarity with sparse keyword scores|Two LLMs|Training and inference","Dense vector similarity with sparse keyword scores","Dense catches paraphrase, sparse catches exact terms; together they cover both",hard,OCP,both
"Dense retrieval beats keyword search when…","The query uses different words than the document, like synonyms or paraphrase|The query quotes the document exactly|The corpus is tiny","The query uses different words than the document, like synonyms or paraphrase","Embeddings match meaning, not spelling, so wording mismatches still retrieve",hard,OCP,both
"Keyword (sparse) search still wins when…","Exact terms matter, like part numbers, error codes, or rare names|Queries are vague|Documents are long","Exact terms matter, like part numbers, error codes, or rare names","Embeddings blur rare exact strings that BM25 matches literally",hard,OCP,both
"A reranker does what?","Re-scores the retrieved candidates with a stronger, often cross-encoder, model|Rebuilds the index nightly|Shuffles results for fairness","Re-scores the retrieved candidates with a stronger, often cross-encoder, model","Cheap retrieval casts a wide net; the reranker reads query and chunk together to reorder it",hard,OCP,both
"Recall@k measures…","Whether the relevant document appears in the top k results|Answer fluency|Tokens per second","Whether the relevant document appears in the top k results","If retrieval can't surface the right chunk in the top k, the LLM never sees it",hard,OCP,both
"Groundedness (faithfulness) in RAG evaluation asks…","Is the answer actually supported by the retrieved sources?|Is the answer long enough?|Was retrieval fast?","Is the answer actually supported by the retrieved sources?","A fluent answer that isn't in the sources is a hallucination wearing citations",hard,OCP,both
"Your RAG bot answers fluently but wrong, and the retrieved chunks don't contain the answer. The failure is in…","Retrieval|The LLM's grammar|The GPU","Retrieval","Garbage in, confident garbage out: fix search before touching the prompt",hard,OCP,both
"Why include citations to retrieved chunks in RAG answers?","So claims can be verified against sources, exposing hallucination|To make answers longer|Vector stores require it","So claims can be verified against sources, exposing hallucination","Citations make the answer auditable, which is the point of grounding",hard,OCP,both
"Embedding dimension is…","The length of the vector each text maps to|The number of documents|The chunk size in words","The length of the vector each text maps to","384, 768, 1536: more dimensions can carry more nuance but cost more to store and search",hard,OCP,both
"If your corpus updates daily, your RAG system needs…","Re-embedding and re-indexing of the changed documents|A full model retrain|Nothing at all","Re-embedding and re-indexing of the changed documents","The index is the knowledge; stale index means confidently outdated answers",hard,OCP,both
"Hit rate and MRR in RAG evals measure…","How well retrieval places the right document near the top|LLM training loss|Chunk compression ratio","How well retrieval places the right document near the top","MRR rewards ranking the relevant chunk first, not just somewhere in top k",hard,OCP,both
"SQL: SELECT does what?","Retrieves rows and columns from a table|Deletes the table|Creates a backup","Retrieves rows and columns from a table","SELECT is the read operation: pick columns, FROM says which table",easy,CIRC,both
"SQL: the WHERE clause…","Filters rows by a condition|Sorts the results|Renames columns","Filters rows by a condition","WHERE keeps only rows where the condition is true",easy,CIRC,both
"SQL: an INNER JOIN returns…","Only rows with matching keys in both tables|All rows from both tables regardless of match|Only the left table's rows","Only rows with matching keys in both tables","No match, no row: inner join is the intersection on the join key",medium,CIRC,both
"SQL: a LEFT JOIN returns…","All left-table rows, with NULLs where the right table has no match|Only the matching rows|Only right-table rows","All left-table rows, with NULLs where the right table has no match","Left join preserves the left side; missing matches come back as NULLs",medium,CIRC,both
"SQL: GROUP BY is used to…","Aggregate rows that share a value, with COUNT, SUM or AVG|Sort rows alphabetically|Join two tables","Aggregate rows that share a value, with COUNT, SUM or AVG","Group first, then aggregate within each group",medium,CIRC,both
"SQL: HAVING differs from WHERE because…","HAVING filters after aggregation, WHERE filters rows before it|They are interchangeable|HAVING only works on text columns","HAVING filters after aggregation, WHERE filters rows before it","You can't WHERE on COUNT(*): filter groups with HAVING",hard,CIRC,both
"K-means requires you to choose…","The number of clusters k in advance|The cluster labels|The tree depth","The number of clusters k in advance","k is a hyperparameter you set; picking it well is half the work",medium,CIRC,both
"K-means assigns each point to…","The nearest cluster centroid|A random cluster|The largest cluster","The nearest cluster centroid","Assign to nearest centroid, recompute centroids, repeat until stable",medium,CIRC,both
"HDBSCAN improves on K-means for messy real data because…","It finds variable-density clusters and labels outliers as noise, without fixing k|It is always faster|It requires labeled data","It finds variable-density clusters and labels outliers as noise, without fixing k","Density-based clustering handles odd shapes and noise that K-means forces into clusters",hard,CIRC,both
"UMAP is used to…","Project high-dimensional data to 2-3 dimensions while preserving local structure|Train classifiers|Impute missing values","Project high-dimensional data to 2-3 dimensions while preserving local structure","It's a dimensionality-reduction tool: great for visualizing clusters in embeddings",hard,CIRC,both
"Cohen's kappa measures…","Agreement between two raters beyond what chance would produce|Raw percent agreement|Model inference speed","Agreement between two raters beyond what chance would produce","Kappa corrects agreement for the chance level implied by the label distribution",medium,COND,both
"Kappa can be low even when raw agreement is high when…","One class dominates, so chance agreement is already high|The raters are experts|The dataset is small","One class dominates, so chance agreement is already high","At 95% majority class, two coin-flippers 'agree' a lot: kappa exposes that",hard,COND,both
"A ground-truth set is…","Human-verified labels used as the reference for evaluation|The model's own predictions|The largest class in the data","Human-verified labels used as the reference for evaluation","Evaluation is only as good as the reference labels you score against",medium,COND,both
"In a confusion matrix, a false positive is…","Predicted positive, actually negative|Predicted negative, actually positive|Any correct prediction","Predicted positive, actually negative","The model raised its hand and was wrong: prediction positive, truth negative",medium,COND,both
"Macro-F1 differs from micro-F1 in that macro…","Averages F1 per class equally, so rare classes count as much as common ones|Weights classes by their size|Ignores small classes","Averages F1 per class equally, so rare classes count as much as common ones","Macro treats every class as equally important; micro pools all decisions",hard,COND,both
"The bootstrap estimates uncertainty by…","Resampling the data with replacement many times and recomputing the statistic|Training a bigger model|Deleting outliers","Resampling the data with replacement many times and recomputing the statistic","The spread across resamples approximates the sampling distribution",medium,COND,both
"Always compare a model against a simple baseline because…","A trivial rule like majority-class may already score deceptively well|Baselines make training faster|It doubles the dataset","A trivial rule like majority-class may already score deceptively well","If your model barely beats 'always predict the mean', it isn't learning much",medium,COND,both
"Reasonable first moves against heavy class imbalance:","Resample or reweight classes, and pick metrics suited to imbalance|Always drop the minority class|Raise the learning rate","Resample or reweight classes, and pick metrics suited to imbalance","Fix the training signal and the measurement; accuracy alone will lie to you",hard,COND,both
"A PyTorch tensor is…","An n-dimensional array that can live on CPU or GPU and track gradients|A database table|A Python dictionary","An n-dimensional array that can live on CPU or GPU and track gradients","Tensors are the core data structure: numpy arrays with autograd and device placement",medium,GRND,both
"A DataLoader's job is…","Serve the dataset in shuffled mini-batches during training|Compute the loss|Store checkpoints","Serve the dataset in shuffled mini-batches during training","It wraps a Dataset and handles batching, shuffling and parallel loading",medium,GRND,both
"optimizer.zero_grad() exists because…","Gradients accumulate by default, so you clear them before each backward pass|It resets the weights|It frees the GPU permanently","Gradients accumulate by default, so you clear them before each backward pass","Skip it and every step applies the sum of all past gradients",medium,GRND,both
"The canonical training-loop order is…","forward, then loss, then backward, then optimizer step|backward, then forward, then loss|loss, then forward, then step","forward, then loss, then backward, then optimizer step","Predict, measure, differentiate, update: in that order, every batch",medium,GRND,both
"model.eval() before validation…","Switches layers like dropout and batchnorm to inference behavior|Freezes the weights forever|Deletes the optimizer","Switches layers like dropout and batchnorm to inference behavior","Pair it with torch.no_grad(); switch back with model.train()",medium,GRND,both
